1-Nov-2019 10:20:09 AM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,fusewarhw2019.HelloWorld*,7112 (11%),5200,260,1319,112,178,43,2,2,2
2nd,fusewarhw2019.GuillaumeBot*,6443 (10%),3650,130,2075,210,378,0,1,1,0
3rd,fusewarhw2019.RoS_Bot 2.0,6075 (10%),4150,260,1539,69,46,11,2,2,0
4th,fusewarhw2019.Thunder 1.0,4987 (8%),3600,0,1236,98,53,0,0,1,2
5th,fusewarhw2019.WallE*,4945 (8%),3500,130,1229,62,24,0,1,1,1
6th,fusewarhw2019.Elmeth*,4812 (8%),3700,130,896,44,42,0,1,1,1
7th,fusewarhw2019.PointyHairedBoss*,4750 (8%),2850,130,1474,196,100,0,1,0,0
8th,fusewarhw2019.SirSmashAlot*,4678 (7%),4050,130,455,6,36,0,1,2,1
9th,fusewarhw2019.FridayDeployment 1.0,4040 (6%),3350,0,659,5,26,0,0,0,2
10th,fusewarhw2019.Arkannoyed*,3436 (5%),3000,0,420,6,11,0,0,0,0
11th,robrother.Robrother 1.0,3259 (5%),2450,0,786,6,17,0,0,0,0
12th,fusewarhw2019.Scratsh*,2978 (5%),2350,0,488,0,140,0,0,0,0
13th,io.cunningt.HappyFunBot*,2833 (5%),2150,130,405,16,131,0,1,0,1
14th,fusewarhw2019.Valdar*,2128 (3%),1500,0,587,38,4,0,0,0,0
$
